log10_j_ma_cm2,achiral_eta_v,conditional_chiral_eta_v
-1.22,0.211914088423,0.21191408842
-1.2,0.214295145596,0.214295145593
-1.18,0.21667620277,0.216676202766
-1.16,0.219057259943,0.21905725994
-1.14,0.221438317116,0.221438317113
-1.12,0.22381937429,0.223819374286
-1.1,0.226200431463,0.22620043146
-1.08,0.228581488636,0.228581488633
-1.06,0.230962545809,0.230962545806
-1.04,0.233343602983,0.23334360298
-1.02,0.235724660156,0.235724660153
-1,0.238105717329,0.238105717326
-0.98,0.240486774503,0.240486774499
-0.96,0.242867831676,0.242867831673
-0.94,0.245248888849,0.245248888846
-0.92,0.247629946022,0.247629946019
-0.9,0.250011003196,0.250011003193
-0.88,0.252392060369,0.252392060366
-0.86,0.254773117542,0.254773117539
-0.84,0.257154174716,0.257154174712
-0.82,0.259535231889,0.259535231886
-0.8,0.261916289062,0.261916289059
-0.78,0.264297346236,0.264297346232
-0.76,0.266678403409,0.266678403406
-0.74,0.269059460582,0.269059460579
-0.72,0.271440517755,0.271440517752
-0.7,0.273821574929,0.273821574926
-0.68,0.276202632102,0.276202632099
-0.66,0.278583689275,0.278583689272
-0.64,0.280964746449,0.280964746445
-0.62,0.283345803622,0.283345803619
-0.6,0.285726860795,0.285726860792
-0.58,0.288107917968,0.288107917965
-0.56,0.290488975142,0.290488975139
-0.54,0.292870032315,0.292870032312
-0.52,0.295251089488,0.295251089485
-0.5,0.297632146662,0.297632146658
-0.48,0.300013203835,0.300013203832
-0.46,0.302394261008,0.302394261005
-0.44,0.304775318182,0.304775318178
-0.42,0.307156375355,0.307156375352
-0.4,0.309537432528,0.309537432525
-0.38,0.311918489701,0.311918489698
-0.36,0.314299546875,0.314299546872
-0.34,0.316680604048,0.316680604045
-0.32,0.319061661221,0.319061661218
-0.3,0.321442718395,0.321442718391
-0.28,0.323823775568,0.323823775565
-0.26,0.326204832741,0.326204832738
-0.24,0.328585889914,0.328585889911
-0.22,0.330966947088,0.330966947085
-0.2,0.333348004261,0.333348004258
-0.18,0.335729061434,0.335729061431
-0.16,0.338110118608,0.338110118604
-0.14,0.340491175781,0.340491175778
-0.12,0.342872232954,0.342872232951
-0.1,0.345253290128,0.345253290124
-0.08,0.347634347301,0.347634347298
-0.06,0.350015404474,0.350015404471
-0.04,0.352396461647,0.352396461644
-0.02,0.354777518821,0.354777518817
0,0.357158575994,0.357158575991
0.02,0.359539633167,0.359539633164
0.04,0.361920690341,0.361920690337
0.06,0.364301747514,0.364301747511
0.08,0.366682804687,0.366682804684
0.1,0.36906386186,0.369063861857
0.12,0.371444919034,0.371444919031
0.14,0.373825976207,0.373825976204
0.16,0.37620703338,0.376207033377
0.18,0.378588090554,0.37858809055
0.2,0.380969147727,0.380969147724
