energy_ev,D_up_up,D_up_down,D_down_up,D_down_down,L_up_up,L_up_down,L_down_up,L_down_down
-0.195,1.41625878944,0.00106845076319,0.00107020798826,1.41611298054,1.41611298054,0.00107020798826,0.00106845076319,1.41625878944
-0.19,1.35751568722,0.000968812834231,0.000970677363155,1.35739205062,1.35739205062,0.000970677363155,0.000968812834231,1.35751568722
-0.185,1.31244819579,0.000893294152632,0.000895274229656,1.31234330424,1.31234330424,0.000895274229656,0.000893294152632,1.31244819579
-0.18,1.28189243275,0.000839152969598,0.000841255247036,1.28180325546,1.28180325546,0.000841255247036,0.000839152969598,1.28189243275
-0.175,1.26645817642,0.000804116871783,0.000806348795827,1.26638211291,1.26638211291,0.000806348795827,0.000804116871783,1.26645817642
-0.17,1.26666473729,0.00078651366903,0.000788884018528,1.26659957792,1.26659957792,0.000788884018528,0.00078651366903,1.26666473729
-0.165,1.28298494087,0.000785244247087,0.000787762177787,1.28292878405,1.28292878405,0.000787762177787,0.000785244247087,1.28298494087
-0.16,1.31575797702,0.000799628986702,0.000802301583302,1.31570911725,1.31570911725,0.000802301583302,0.000799628986702,1.31575797702
-0.155,1.36491681001,0.000829105384441,0.000831933466353,1.36487360155,1.36487360155,0.000831933466353,0.000829105384441,1.36491681001
-0.15,1.4294747301,0.00087272137712,0.00087569331111,1.42943543099,1.42943543099,0.00087569331111,0.00087272137712,1.4294747301
-0.145,1.50677381556,0.000928388389449,0.000931472249556,1.50673642982,1.50673642982,0.000931472249556,0.000928388389449,1.50677381556
-0.14,1.59168771643,0.000991997736216,0.000995133710794,1.59164988323,1.59164988323,0.000995133710794,0.000991997736216,1.59168771643
-0.135,1.67631281299,0.00105681492397,0.00105991230006,1.67627183108,1.67627183108,0.00105991230006,0.00105681492397,1.67631281299
-0.13,1.75093501538,0.00111389615404,0.00111684076818,1.75088809916,1.75088809916,0.00111684076818,0.00111389615404,1.75093501538
-0.125,1.80661932602,0.00115408608774,0.00115676129118,1.80656410555,1.80656410555,0.00115676129118,0.00115408608774,1.80661932602
-0.12,1.83835263839,0.00117100650834,0.00117332208755,1.83828774234,1.83828774234,0.00117332208755,0.00117100650834,1.83835263839
-0.115,1.84652508372,0.00116315825307,0.00116507373075,1.846450529,1.846450529,0.00116507373075,0.00116315825307,1.84652508372
-0.11,1.83553781298,0.00113363545099,0.00113516630731,1.83545501954,1.83545501954,0.00113516630731,0.00113363545099,1.83553781298
-0.105,1.8107919652,0.00108796551937,0.00108917210636,1.8107034407,1.8107034407,0.00108917210636,0.00108796551937,1.8107919652
-0.1,1.77636512458,0.00103187233491,0.00103284018466,1.7762739953,1.7762739953,0.00103284018466,0.00103187233491,1.77636512458
-0.095,1.73450623174,0.000970142209132,0.000970962809967,1.73441576917,1.73441576917,0.000970962809967,0.000970142209132,1.73450623174
-0.09,1.68649306394,0.000906528218256,0.00090728501632,1.68640628168,1.68640628168,0.00090728501632,0.000906528218256,1.68649306394
-0.085,1.63378448191,0.000844060242533,0.000844820880063,1.63370384121,1.63370384121,0.000844820880063,0.000844060242533,1.63378448191
-0.08,1.57868099986,0.00078527833837,0.00078609232254,1.57860825162,1.57860825162,0.00078609232254,0.00078527833837,1.57868099986
-0.075,1.52429491963,0.000732269040324,0.00073316932275,1.52423109027,1.52423109027,0.00073316932275,0.000732269040324,1.52429491963
-0.07,1.47407986443,0.000686609490501,0.000687616203802,1.47402535794,1.47402535794,0.000687616203802,0.000686609490501,1.47407986443
-0.065,1.43129501291,0.000649348161571,0.000650472917167,1.43124977618,1.43124977618,0.000650472917167,0.000649348161571,1.43129501291
-0.06,1.39864867754,0.000621070391602,0.000622320017636,1.39861237405,1.39861237405,0.000622320017636,0.000621070391602,1.39864867754
-0.055,1.37816799628,0.000602021411705,0.000603400562367,1.37814014975,1.37814014975,0.000603400562367,0.000602021411705,1.37816799628
-0.05,1.37121307994,0.000592231946403,0.000593744416954,1.37119316971,1.37119316971,0.000593744416954,0.000592231946403,1.37121307994
-0.045,1.37851839804,0.000591598745969,0.000593247507766,1.3785059019,1.3785059019,0.000593247507766,0.000591598745969,1.37851839804
-0.04,1.40016384526,0.00059988916452,0.000601675153315,1.40015823126,1.40015823126,0.000601675153315,0.00059988916452,1.40016384526
-0.035,1.43541903688,0.000616653393423,0.000618573069632,1.43541970696,1.43541970696,0.000618573069632,0.000616653393423,1.43541903688
-0.03,1.48246261898,0.000641045347999,0.000643087153447,1.4824688095,1.4824688095,0.000643087153447,0.000641045347999,1.48246261898
-0.025,1.53807023477,0.00067158862165,0.000673728839,1.53808088818,1.53808088818,0.000673728839,0.00067158862165,1.53807023477
-0.02,1.59749310609,0.000705987852777,0.000708187091757,1.59750674788,1.59750674788,0.000708187091757,0.000705987852777,1.59749310609
-0.015,1.65484525809,0.000741155346332,0.000743357670672,1.65485993798,1.65485993798,0.000743357670672,0.000741155346332,1.65484525809
-0.01,1.70421123384,0.000773614510241,0.000775751304604,1.70422459947,1.70422459947,0.000775751304604,0.000773614510241,1.70421123384
-0.005,1.74124236766,0.00080025778272,0.000802256955099,1.74125190409,1.74125190409,0.000802256955099,0.00080025778272,1.74124236766
0,1.76444482493,0.00081912894507,0.000820927213078,1.76444821419,1.76444821419,0.000820927213078,0.00081912894507,1.76444482493
0.005,1.77528163958,0.000829756445853,0.000831310321017,1.7752771247,1.7752771247,0.000831310321017,0.000829756445853,1.77528163958
0.01,1.77692061729,0.000832823342356,0.000834115079402,1.77690725723,1.77690725723,0.000834115079402,0.000832823342356,1.77692061729
0.015,1.77237537231,0.000829425778205,0.000830463457053,1.7723531444,1.7723531444,0.000830463457053,0.000829425778205,1.77237537231
0.02,1.76307981639,0.00082040890158,0.000821222335016,1.76304958941,1.76304958941,0.000821222335016,0.00082040890158,1.76307981639
