draw,strategy,k_total_per_h,layer_USD,electricity_scale,fixed_USD_kg,emission_factor_kg_kWh,window_feasible,cost_reduction_fraction,predicted_life_h,electricity_only_kgCO2e_per_tCl2
69,mpc,0.0043997988551398234,0.17403840180437827,0.670676116224516,0.16543274069520386,0.20036194262369458,True,-0.0033817879473314605,78.80865362194511,523.0759432032322
70,rule,0.004489303272850284,0.12211832369423486,1.1680962311794088,0.13752065141646747,0.4630334969688946,True,0.01136191690157351,76.27195699874969,1210.5530111018293
70,mpc,0.004489303272850284,0.12211832369423486,1.1680962311794088,0.13752065141646747,0.4630334969688946,True,-0.0015848960137054835,77.23742480886045,1209.3441701053057
71,rule,0.004871346377376542,0.11878725899052837,0.8427772259816145,0.07632545011259007,0.1724889088830743,True,0.010200461667747351,70.29020719433763,451.7982183032563
71,mpc,0.004871346377376542,0.11878725899052837,0.8427772259816145,0.07632545011259007,0.1724889088830743,True,-0.002605793677447732,71.17995665249381,451.3300224832766
72,rule,0.005033725544047676,0.14206071132746093,1.2755094866790473,0.13143587018846611,0.6062161326974823,True,0.011011458478818015,68.02276826277838,1589.1044486376088
72,mpc,0.005033725544047676,0.14206071132746093,1.2755094866790473,0.13143587018846611,0.6062161326974823,True,-0.0019582009015737256,68.88381596230724,1587.4326897776718
73,rule,0.005848831574545593,0.2899590502631192,1.1902980175644995,0.15235245581847087,0.5919589127274676,True,0.004286653155375131,58.54296568760154,1557.7602381244196
73,mpc,0.005848831574545593,0.2899590502631192,1.1902980175644995,0.15235245581847087,0.5919589127274676,True,-0.004934545900068699,59.28401588617878,1556.0027318522746
74,rule,0.0033981621722286464,0.3749071796474343,0.9774302100436578,0.05701891895251982,0.5621401303986218,True,0.0055248085819233905,100.7626854832001,1461.6120753812015
74,mpc,0.0033981621722286464,0.3749071796474343,0.9774302100436578,0.05701891895251982,0.5621401303986218,True,-0.005680644899239029,102.03816251463302,1460.3184344047263
75,rule,0.006496213503783444,0.22198347236594929,1.3273631960784238,0.12280195912537044,0.5929069662348998,True,0.007122014014138478,52.70885046831699,1564.9394468398434
75,mpc,0.006496213503783444,0.22198347236594929,1.3273631960784238,0.12280195912537044,0.5929069662348998,True,-0.003963340297632678,53.37605110715645,1563.083944600012
76,rule,0.003572779070497218,0.3964449385762731,0.7466701905595095,0.05673035374467779,0.17210323046317008,True,0.0013213911300760106,95.83798478015903,447.8830670003948
76,mpc,0.003572779070497218,0.3964449385762731,0.7466701905595095,0.05673035374467779,0.17210323046317008,True,-0.007412261267726983,97.05112382800915,447.47825305867195
77,rule,0.004746107567578374,0.2781518706179837,0.7486787043786297,0.0797975305298462,0.4985031922101416,True,0.0021892945742307823,72.14500331181733,1304.9275228590652
77,mpc,0.004746107567578374,0.2781518706179837,0.7486787043786297,0.0797975305298462,0.4985031922101416,True,-0.006401372529338367,73.05823120184034,1303.5912176209565
78,rule,0.005654223298236945,0.26773238597676435,1.0692842265732903,0.09451630344858508,0.35987258350811313,True,0.004677742472509405,60.5579101002166,946.1507382892651
78,mpc,0.005654223298236945,0.26773238597676435,1.0692842265732903,0.09451630344858508,0.35987258350811313,True,-0.005340161542842559,61.324465924269994,945.100102743662
79,rule,0.006501283707453893,0.46102811588802295,0.7818458049193862,0.09982499017844662,0.34019473863245564,True,-0.00710539008147526,52.667744031629226,897.9427581315944
79,mpc,0.006501283707453893,0.46102811588802295,0.7818458049193862,0.09982499017844662,0.34019473863245564,True,-0.01077703395990759,53.33442433582708,896.8776994584346
80,rule,0.003337014565282733,0.45745579978452666,0.9769749489889248,0.08758681648295744,0.5851263235642797,True,0.0033644871618566663,102.60906552326425,1520.9000092143729
80,mpc,0.003337014565282733,0.45745579978452666,0.9769749489889248,0.08758681648295744,0.5851263235642797,True,-0.006201146743753938,103.90791445393849,1519.5639690419632
81,rule,0.005857576183099015,0.2782109010924948,1.2545091740762238,0.07384134240912736,0.5411601686149937,True,0.005896863014718812,58.45556856249515,1424.139943457041
81,mpc,0.005857576183099015,0.2782109010924948,1.2545091740762238,0.07384134240912736,0.5411601686149937,True,-0.0052210794118727755,59.195512468349534,1422.532060639968
82,rule,0.003910655623349487,0.43930766176957853,0.6619502269298798,0.06133459678459221,0.17849097376599252,True,-0.0024819926294723516,87.55768320195624,465.3027474737485
82,mpc,0.003910655623349487,0.43930766176957853,0.6619502269298798,0.06133459678459221,0.17849097376599252,True,-0.009023797417807788,88.66600830577848,464.8656019849099
83,rule,0.004276607914921116,0.09005623856902031,1.0654195389034393,0.12081852157887837,0.26717930511774324,True,0.012411371116160974,80.06531180623766,697.7777994004152
83,mpc,0.004276607914921116,0.09005623856902031,1.0654195389034393,0.12081852157887837,0.26717930511774324,True,-0.001146999302343632,81.07879676581031,697.0959699237189
