time_s,device_j,wire_j,source_resistor_j,supplied_j,capacitor_change_j,BE_numerical_loss_j,kcl_residual_a
1.499,1.2724425082e-09,2.69364890751e-09,1.60292811576e-09,5.56910783327e-09,7.86347075689e-14,9.66898451133e-15,2.65745203078e-14
1.4995,1.90860764398e-09,4.04111399789e-09,2.39371607561e-09,8.3435578899e-09,1.08536362689e-13,1.16432059753e-14,7.4186577698e-14
1.5,2.74427816433e-09,5.76928798078e-09,3.41999750667e-09,1.1933715576e-08,1.39082318931e-13,1.2848372661e-14,1.97649513943e-14
1.5005,3.7481316192e-09,7.78396947363e-09,4.6364403697e-09,1.61687158957e-08,1.62002363296e-13,1.24521312006e-14,5.35720895271e-14
1.501,4.8062909444e-09,9.83931083527e-09,5.90159712093e-09,2.05473738862e-08,1.6512004367e-13,9.86551931729e-15,6.77626357803e-21
1.5015,5.70665027082e-09,1.15365861212e-08,6.96571601019e-09,2.4209094107e-08,1.36198605585e-13,5.50620205976e-15,2.03287907341e-20
1.502,6.18471373614e-09,1.24195685999e-08,7.52639384192e-09,2.61307481892e-08,7.06907752965e-14,1.32149891948e-15,7.22870792088e-15
1.5025,6.04554150806e-09,1.21635130956e-08,7.36308216115e-09,2.55721160785e-08,-2.07968152296e-14,1.10564421555e-16,6.24093875537e-17
1.503,5.29129503941e-09,1.07585198294e-08,6.47507378913e-09,2.25247791675e-08,-1.1300729115e-13,3.52319755583e-15,5.08623091561e-14
1.5035,4.13689417687e-09,8.54637637563e-09,5.10157660602e-09,1.77846797815e-08,-1.77778238459e-13,1.04174855207e-14,5.36182020007e-14
1.504,2.88948346894e-09,6.06591996527e-09,3.59548528196e-09,1.25507068693e-08,-1.99337027654e-13,1.74927544945e-14,1.38224189581e-14
1.5045,1.7998794541e-09,3.81689105653e-09,2.25839834792e-09,7.87500975074e-09,-1.80807179225e-13,2.16996405908e-14,2.2578611886e-15
1.505,9.92483931422e-10,2.09860144005e-09,1.25201427488e-09,4.34298342615e-09,-1.38238135097e-13,2.20180299932e-14,1.92917852374e-15
1.5055,4.80126960512e-10,9.86658937363e-10,6.04018094322e-10,2.07073375795e-09,-8.95661064481e-14,1.93336565464e-14,5.98181901012e-14
1.506,2.12712645182e-10,4.03100253096e-10,2.60056909187e-10,8.75837932979e-10,-4.7122838837e-14,1.52485310318e-14,9.04572234174e-15
1.5065,1.19984851534e-10,2.0554633579e-10,1.35741085545e-10,4.61267274808e-10,-1.60939954988e-14,1.10959500086e-14,7.37841930024e-16
1.507,1.36581092342e-10,2.5109991524e-10,1.49917816414e-10,5.37609895903e-10,3.46753930414e-15,7.60438434738e-15,4.16176086106e-16
1.5075,2.12167465334e-10,4.26923729084e-10,2.39293575163e-10,8.78403730952e-10,1.39683468777e-14,4.99307177026e-15,6.35932008008e-16
1.508,3.12888295598e-10,6.56960185101e-10,3.61121331995e-10,1.33099136078e-09,1.8356757168e-14,3.19143208322e-15,9.22029244404e-16
1.5085,4.18778412235e-10,8.96766820155e-10,4.90159770729e-10,1.80572619256e-09,1.91698425561e-14,2.01977702899e-15,1.53661263401e-15
1.509,5.19960742119e-10,1.12477790386e-09,6.13892494157e-10,2.25865067603e-09,1.82446308128e-14,1.29153390124e-15,2.32852745332e-15
1.5095,6.13142377377e-10,1.33414283911e-09,7.28078661096e-10,2.6753814961e-09,1.67635138639e-14,8.55393858744e-16,3.19819989719e-15
1.51,6.98944307249e-10,1.52660086882e-09,8.33376556677e-10,3.05893775345e-09,1.54172854268e-14,6.03935099775e-16,4.12151663167e-15
1.5105,7.80123696339e-10,1.70848339315e-09,9.33110061677e-10,3.421732194e-09,1.45757208506e-14,4.67757397111e-16,5.11303645907e-15
1.511,8.60539688716e-10,1.88842583904e-09,1.03197427946e-09,3.78095463698e-09,1.44247588765e-14,4.05804299165e-16,6.22135535363e-15
1.5115,9.44661823368e-10,2.07629198949e-09,1.13541950374e-09,4.15638877605e-09,1.50638226782e-14,3.96606459542e-16,7.53471381966e-15
1.512,1.03744841238e-09,2.28290163516e-09,1.24949329415e-09,4.56986034276e-09,1.65703769298e-14,4.31922114391e-16,9.18687868834e-15
1.5125,1.14447399906e-09,2.52028089917e-09,1.38098703629e-09,5.04576148767e-09,1.90419177278e-14,5.12788549213e-16,1.1384146528e-14
1.513,1.2722361073e-09,2.80226526237e-09,1.53779728304e-09,5.61232192256e-09,2.26243887689e-14,6.47501978979e-16,1.44504261259e-14
1.5135,1.42860944274e-09,3.14536493618e-09,1.72945760362e-09,6.30346036401e-09,2.75333233646e-14,8.50944620021e-16,1.89147234388e-14
1.514,1.6234398534e-09,3.5698402317e-09,1.96782400585e-09,7.16113930242e-09,3.40708253241e-14,1.1446683458e-15,2.56761774928e-14
