delay_s,delta_weight_siemens_s,delta_weight_over_g0_tau,final_state,peak_state_change
0.032,2.34643456284e-10,0.00223469958365,0.49999998318,0.0229534408401
0.033,2.07067961917e-10,0.00197207582779,0.499999981067,0.0228410142723
0.034,1.82739887891e-10,0.00174037988467,0.499999978738,0.0227403513651
0.035,1.61276085051e-10,0.00153596271478,0.49999997617,0.0226501991718
0.036,1.42321142342e-10,0.00135543945087,0.499999973338,0.0225694415372
0.037,1.25595790066e-10,0.00119615038158,0.499999970214,0.0224970835956
0.038,1.08895996713e-10,0.0010371047306,0.499999966695,0.0224322381318
0.039,9.37942095451e-11,0.000893278186144,0.499999962807,0.0223741135601
0.04,8.04660755756e-11,0.000766343576911,0.499999958526,0.0223220033119
0.041,6.87005476812e-11,0.000654290930298,0.499999953811,0.0222752764556
0.042,5.83105851743e-11,0.000555338906422,0.499999948616,0.0222333693944
0.043,4.91300361497e-11,0.000467905106187,0.499999942889,0.02219577851
0.044,4.10108025887e-11,0.000390579072273,0.499999936574,0.022162053639
0.045,3.3820224979e-11,0.000322097380752,0.499999929609,0.0221317922807
0.046,2.7438619651e-11,0.000261320187152,0.499999921924,0.0221046344524
0.047,2.17568937592e-11,0.000207208511992,0.499999913444,0.0220802581142
0.048,1.66741476707e-11,0.000158801406387,0.499999904083,0.0220583751001
0.049,1.20951492337e-11,0.000115191897464,0.499999893749,0.0220387274944
0.05,7.92752366068e-12,7.55002253398e-05,0.499999882338,0.022021084406
