time_s,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24
0.259,-0.015350681233,0.172415434901,-0.0683163204226,0.0546057128249,-0.059332572453,0.229376950031,0.241714755801,0.236494523706,0.0922479543338,-0.233986281175,0.26520761506,-0.261609141386,-0.11340308481,-0.155822894605,0.0881164839099,0.0353922200304,-0.244216496424,-0.298934489743,0.0587426727249,-0.0272869002916,0.0847480438691,0.00169203375571,0.199297385229,0.204996894963,-0.231549306759
0.2595,-0.0220327746218,0.185416792874,-0.0765697676199,0.0578987330967,-0.0653377668132,0.246287364658,0.26571900442,0.257240472828,0.0982609537884,-0.252642112981,0.287890746761,-0.285503635475,-0.126340756525,-0.166940311851,0.0959195151796,0.0349837953887,-0.268169806014,-0.325558719486,0.0635126988579,-0.0280404103087,0.0909831568478,0.00550935788223,0.220434753769,0.229157233421,-0.248577655865
0.26,-0.0257975329062,0.192631784621,-0.0812190914423,0.0597419810009,-0.0687151487684,0.255637188943,0.278916134341,0.268740064738,0.101612746912,-0.263166196621,0.300350200208,-0.299045910557,-0.13364538083,-0.173206545693,0.100285456723,0.0347352663419,-0.281664747152,-0.340717781026,0.0661662544692,-0.0284685690748,0.0944723729888,0.00763738990178,0.232120034819,0.242594553392,-0.258185059458
0.2605,-0.0257881428304,0.19245280998,-0.0812099092077,0.0597185119468,-0.0687047415542,0.255370922695,0.278446391893,0.268452534108,0.101545983422,-0.263222811204,0.299888146613,-0.29926305797,-0.133683566079,-0.173219008046,0.100226186158,0.0347050237571,-0.28173510192,-0.341078737169,0.0661010133189,-0.0284771176913,0.0944279566781,0.00759373834834,0.231777212484,0.242336829872,-0.258238719178
0.261,-0.02170278245,0.184324030307,-0.0761683235665,0.0576832551806,-0.0650355921687,0.244773859265,0.263330495127,0.255498805393,0.0978001654093,-0.251952814819,0.285577218216,-0.285013006937,-0.125856495994,-0.166471540956,0.0953991351494,0.0349187981262,-0.26727104635,-0.325337268953,0.0631152346058,-0.0280300769422,0.0905752871084,0.00521495548279,0.218527197356,0.227350597654,-0.247955657675
0.2615,-0.0139412509909,0.169001945614,-0.066581586571,0.0538328109913,-0.0580550782152,0.224798740942,0.234903778274,0.231066409529,0.0907365704395,-0.230376427704,0.258670698984,-0.257515396726,-0.110883727628,-0.153594215771,0.086272222535,0.0353563021906,-0.239533181727,-0.294830704439,0.0575046434344,-0.0271664744712,0.0832845770721,0.000735200001182,0.193591100732,0.199017699061,-0.228269660442
0.262,-0.00348480188824,0.148347597407,-0.0536540165427,0.0486476600509,-0.048629430074,0.197819045366,0.196492149975,0.198093735141,0.0812327624082,-0.201120997186,0.222298772171,-0.220059864274,-0.0906065998597,-0.136176174074,0.0739857208571,0.0359574620844,-0.20184309903,-0.253220883889,0.0499730271913,-0.0259904147205,0.0734629056762,-0.00528399521593,0.159967486,0.160767012479,-0.201579436937
0.2625,0.00841939398988,0.124761085025,-0.0389225816323,0.0427402924144,-0.037871673085,0.166930346082,0.152469941157,0.160393377571,0.0704072370706,-0.167614857126,0.180583695693,-0.177019823392,-0.0674163745102,-0.11626969763,0.0599914418249,0.0366443185774,-0.158591011516,-0.205383992298,0.0414096294513,-0.0246393738724,0.0622686208396,-0.0121314388569,0.121543905184,0.11704624811,-0.171010833723
0.263,0.020590979386,0.100557093417,-0.0238480041545,0.0366933596578,-0.0268470492457,0.135154164014,0.107147310412,0.1216652823,0.0593252731521,-0.133180912681,0.137595223049,-0.132690938395,-0.0436189644668,-0.0958469566092,0.0456692562986,0.0373442346009,-0.114077651714,-0.156104200024,0.032655839453,-0.0232477313627,0.0508056476193,-0.0191333626112,0.0820931402216,0.0721638312009,-0.139591243855
0.2635,0.032128320522,0.0775387999148,-0.00954988073826,0.0309546713069,-0.0163779326115,0.104872279813,0.0639459196869,0.0848073842479,0.0488067671378,-0.100413604295,0.0965748985042,-0.0904598365962,-0.0210054745679,-0.0764366308668,0.0320787582183,0.0380034938042,-0.0716883504647,-0.109147001241,0.0243552999497,-0.0219212047006,0.0399238096404,-0.025773723187,0.0445679880321,0.0294830254351,-0.109684315488
