B_t,E0_hz,E1_hz,E2_hz,E3_hz,E4_hz,E5_hz,E6_hz,E7_hz,E8_hz,E9_hz,E10_hz,E11_hz,E12_hz,E13_hz,E14_hz,E15_hz
0.2525,-4120152072.18,-3973443898.44,-3821672309.87,-3664278786.88,-3500583177.87,-3329743441.17,-3150696501.08,-2962068127.8,3010040559.58,3180440062.13,3343832150.94,3501279758.48,3653624853.13,3801547576.82,3945606497.36,4086266856.86
0.255,-4155083379.29,-4008213493.21,-3856310830.91,-3698825620.93,-3535089508.24,-3364276714.97,-3185347190.95,-2996960373.16,3044859874.95,3215085740.42,3378394670.26,3535826573.55,3688207155.58,3836204761.23,3980369208.59,4121159127.07
0.2575,-4190017367.08,-4042988217.71,-3890956560.05,-3733381173.86,-3569605204.55,-3398818681.47,-3220003853.65,-3031852623.63,3079685154.6,3249740106.08,3412966553.26,3570382108.05,3722796669.28,3870867080.87,4015134608.2,4156051401.66
0.26,-4224953967.79,-4077767938.06,-3925609302.41,-3767945200.49,-3604129991.56,-3433369072.09,-3254666293.74,-3066744879.05,3114516203.33,3284402890.7,3447547524.72,3604946116.78,3757393199.23,3905534401.7,4049902628.21,4190943680.52
0.2625,-4259893115.93,-4112552524.99,-3960268870.04,-3802517464.68,-3638663604.59,-3467927629.16,-3289334324.2,-3101637139.28,3149352834.37,3319073836.73,3482137320.08,3639518363.58,3791996557.39,3940206594.29,4084673202.93,4225835963.51
0.265,-4294834748.19,-4147341853.63,-3994935081.59,-3837097738.95,-3673205789.13,-3502494105.33,-3324007765.98,-3136529404.17,3184194868.9,3353752696.97,3516735684.83,3674098620.95,3826606562.33,3974883533.63,4119446268.82,4260728250.53
0.2675,-4329778803.31,-4182135803.33,-4029607762.06,-3871685804.05,-3707756300.27,-3537068263.1,-3358686447.54,-3171421673.6,3219042135.6,3388439234.07,3551342374.14,3708686669.62,3861223038.98,4009565098.93,4154221764.45,4295620541.46
0.27,-4364725222.03,-4216934257.48,-4064286742.51,-3906281448.62,-3742314902.28,-3571649874.31,-3393370204.51,-3206313947.43,3253894470.32,3423133219.99,3585957152.34,3743282298.21,3895845818.31,4044251173.44,4188999630.37,4330512836.21
0.2725,-4399673947.03,-4251737103.36,-4098971859.81,-3940884468.83,-3776881368.22,-3606238719.73,-3428058879.31,-3241206225.54,3288751715.67,3457834435.63,3620579792.54,3777885302.88,3930474737.1,4078941644.3,4223779809.06,4365405134.66
0.275,-4434624922.79,-4286544231.96,-4133662956.38,-3975494668.06,-3811455479.49,-3640834588.57,-3462752320.77,-3276098507.82,3323613720.71,3492542670.31,3655210076.17,3812495486.99,3965109637.7,4113636402.38,4258562244.85,4400297436.72
0.2775,-4469578095.57,-4321355537.82,-4168359879.95,-4010111856.57,-3846037025.48,-3675437278.12,-3497450383.86,-3310990794.14,3358480340.57,3527257721.46,3689847792.69,3847112660.79,3999750367.79,4148335342.1,4293346883.81,4435189742.29
