n_channels,q_a,q_b,q_cat,t_jacket,conv,selectivity,ee,kg_h,sty,pmi,e_factor,ci,cost,kwh_kg,dT_channel,duty_kW
1,3.0,1.0,0.3,10.0,0.2795173982199104,0.9900269983892904,0.8697240565324212,0.011795873394914837,1501.8972471094987,5.977942593924313,5.408991145392322,160.44098862587745,1728.4796755919813,0.059776385633944946,-9.794105438564486,0.0019407819027498737
1,3.0,1.0,0.075,15.0,0.15283037419163992,0.9954599350087925,0.8640770684598201,0.006696659735370405,852.645199270931,10.308861989115465,10.201642987781783,281.3066571055603,3023.828042617364,0.05981791547696466,-4.874831126761478,0.0009837473981593
1,3.0,1.0,0.15,15.0,0.28391838402326086,0.9917870271479435,0.8639807050297632,0.01247447395576159,1588.2993540244531,5.573646812408224,4.978756919229736,151.24835682500733,1627.0098764341305,0.04312064711629103,-4.791090765385775,0.0014175596555489052
1,3.0,1.0,0.3,15.0,0.48506475744617106,0.9860347123730127,0.8638876699661239,0.02140744828699915,2725.680971088034,3.29394951956157,2.463703711403728,88.407592632484,952.4314114465885,0.03625695733733272,-4.710248809261998,0.0021687030693077827
1,3.0,1.0,0.075,20.0,0.274919266464546,0.9934988197137381,0.8582195879962631,0.012362133964480526,1573.995782089028,5.58438706443034,4.998315931233866,152.38439493583144,1638.039012499977,0.029680209434937325,0.20465983915335073,0.0008764697459738369
1,3.0,1.0,0.15,20.0,0.48410684613755495,0.9887069135561494,0.8581224648021151,0.021828462871774482,2779.2862129126547,3.1852133798163265,2.35200314793622,86.43693285480477,929.8083172117308,0.028088815074473503,0.2887149214533906,0.0016587717003341575
1,3.0,1.0,0.3,20.0,0.7358866161411348,0.9815348645171097,0.8581271667860036,0.03328604801406852,4238.1112619465375,2.1184567771516893,1.1744532882563208,56.86210576673022,612.5505186090265,0.0305721360198869,0.28464571371085867,0.0029418725097777715
1,4.0,1.0,0.075,10.0,0.05365205788731575,0.9971703657992105,0.8698874117474082,0.002914443111294649,371.07842201813304,30.6890439046067,32.74443487531307,857.968476040001,8133.8919957497965,0.1998761306107695,-9.936788269973022,0.0014895163779947707
1,4.0,1.0,0.15,10.0,0.10377359598564007,0.9946883799069344,0.8698245680898986,0.005644979365770967,718.7410957713614,15.9318285812223,16.42574708731289,443.4718433849694,4207.675752328735,0.11485245639331551,-9.881894690709942,0.001694383197864958
1,4.0,1.0,0.3,10.0,0.1937707181808459,0.9903056876196231,0.8697232438055469,0.010566004852080013,1345.3055207531877,8.605105418071172,8.323096901725123,237.47501051515619,2256.783527317585,0.07288362685745657,-9.793395618200805,0.0020724960224787993
1,4.0,1.0,0.075,15.0,0.10104989626787386,0.995692591026835,0.8640866798769181,0.0057889324530863975,737.0697721070334,15.4504260197947,15.911622562720126,431.93130495575224,4095.0227066874063,0.07595189190421084,-4.883183852008187,0.001033164700722314
1,4.0,1.0,0.15,15.0,0.19387732323184492,0.9920192069814857,0.8639814129609186,0.011132851691843469,1417.4787019726866,8.07832944239176,7.759673144639806,224.86058568249598,2133.5363964897124,0.05015642301088972,-4.791705938304972,0.001407311986279835
1,4.0,1.0,0.3,15.0,0.3532232514377329,0.9858342806106627,0.8638438425372339,0.020365898611703376,2593.0667476487693,4.464403330955966,3.7632320634130836,123.2042728049127,1170.8485224429419,0.038132954845723446,-4.672167419507559,0.0020942077970916876
1,4.0,1.0,0.075,20.0,0.18572525301511,0.9936835049384903,0.8582223772417944,0.01099155072894523,1399.4877046055672,8.13729334519325,7.834374800064746,227.48106853733637,2156.7389297338045,0.03155647263905594,0.20224581795986296,0.0007368438577133683
1,4.0,1.0,0.15,20.0,0.3476471775683958,0.988603175456296,0.8580808808128644,0.020625045403849306,2626.0623420139154,4.360467666326458,3.658085645660912,121.37399357877636,1151.6355198161543,0.027473499021854066,0.3247021772796188,0.0014344848916843283
1,4.0,1.0,0.3,20.0,0.5897339310888037,0.9806073609514802,0.8579916739147214,0.035113997469601185,4470.853015202667,2.5893259711803664,1.6992662560339324,71.46068646344217,679.0937047348414,0.0274937622342796,0.4018997588898401,0.002699164172344553
1,5.0,1.0,0.075,10.0,0.03788117917810818,0.9973976894308868,0.8698941127642381,0.002494946184946315,317.6664144659777,44.028205843792044,47.56395545633882,1249.3801960729843,10886.825023585412,0.2707460271562608,-9.942641770043792,0.0017099816503569857
1,5.0,1.0,0.15,10.0,0.0740212366803481,0.9950868860101177,0.869834463944639,0.004881010371533564,621.4695423299004,22.606257065856603,23.837633491006756,639.2161676160456,5574.360659513473,0.15013845982796317,-9.890538439369664,0.0018876309665895792
