energy_ev,D_Tup,D_Tdown,L_Tup,L_Tdown,D_Px,D_Py,D_Pz,L_Px,L_Py,L_Pz,single_Pz,zero_SOC_Pz,flux_deficit
-0.58,1.78146247843,1.74336291042,1.74336291042,1.78146247843,0.000348825651348,0.00033975490029,0.0108089235087,-0.000348825651348,0.00033975490029,-0.0108089235087,-4.5388563083e-16,0,7.47272843604e-08
-0.575,1.3521476719,1.33335035042,1.33335035042,1.3521476719,7.61844475144e-05,0.000202620748297,0.00699956630957,-7.61844475144e-05,0.000202620748297,-0.00699956630957,5.95257020213e-16,0,4.42345116092e-08
-0.57,1.05474750544,1.04616908788,1.04616908788,1.05474750544,-4.53007131854e-05,8.39377245643e-05,0.0040831785444,4.53007131853e-05,8.39377245642e-05,-0.0040831785444,1.57993191493e-16,0,2.64186388321e-08
-0.565,0.918169090513,0.913399432768,0.913399432768,0.918169090513,-8.13083603291e-05,1.79440690934e-05,0.00260413830247,8.13083603291e-05,1.79440690934e-05,-0.00260413830247,0,0,1.93340310428e-08
-0.56,0.850538515842,0.84735343243,0.84735343243,0.850538515842,-8.77935907244e-05,-1.8781480395e-05,0.00187590465676,8.77935907242e-05,-1.87814803951e-05,-0.00187590465676,1.14802721747e-15,0,1.62655058311e-08
-0.555,0.818193776559,0.815710379799,0.815710379799,0.818193776559,-8.4628532411e-05,-4.07042399105e-05,0.00151991581059,8.46285324109e-05,-4.07042399107e-05,-0.00151991581059,9.41979955973e-16,0,1.49473640132e-08
-0.55,0.809624399979,0.807405782459,0.807405782459,0.809624399979,-7.84748121261e-05,-5.4303536922e-05,0.00137203222542,7.84748121261e-05,-5.4303536922e-05,-0.00137203222542,4.72888304953e-16,0,1.46167327131e-08
-0.545,0.821911514661,0.819670227999,0.819670227999,0.821911514661,-7.17649488773e-05,-6.2040741026e-05,0.0013653213876,7.17649488772e-05,-6.2040741026e-05,-0.0013653213876,6.79965013619e-16,0,1.50395376153e-08
-0.54,0.857207301149,0.854673569951,0.854673569951,0.857207301149,-6.56559473861e-05,-6.39766699743e-05,0.00148008616723,6.56559473861e-05,-6.39766699743e-05,-0.00148008616723,1.16696002333e-15,0,1.62438269502e-08
-0.535,0.923117079312,0.919939581589,0.919939581589,0.923117079312,-6.12040076739e-05,-5.79781719692e-05,0.0017240369164,6.12040076738e-05,-5.79781719691e-05,-0.0017240369164,9.495165144e-16,0,1.84851762786e-08
-0.53,1.0356906817,1.03131059308,1.03131059308,1.0356906817,-6.01336575578e-05,-3.91740393404e-05,0.00211905462818,6.0133657558e-05,-3.91740393404e-05,-0.00211905462818,6.32021877466e-16,0,2.23237872632e-08
-0.525,1.22248581747,1.21597649631,1.21597649631,1.22248581747,-6.54802955913e-05,7.19720268573e-08,0.00266943684862,6.54802955913e-05,7.19720268104e-08,-0.00266943684861,-7.83087786291e-16,0,2.86707995123e-08
-0.52,1.50265853727,1.49284582166,1.49284582166,1.50265853727,-8.09820401088e-05,6.51550824971e-05,0.00327581416451,8.09820401087e-05,6.51550824969e-05,-0.0032758141645,-6.39885712304e-17,0,3.78979585491e-08
-0.515,1.77337686282,1.76051018757,1.76051018757,1.77337686282,-0.000106236637177,0.000143467634648,0.00364094128068,0.000106236637177,0.000143467634648,-0.00364094128068,6.84477483494e-16,0,4.56880209221e-08
-0.51,1.79124191431,1.77885934121,1.77885934121,1.79124191431,-0.000131118605521,0.000198269514748,0.0034684094981,0.000131118605521,0.000198269514748,-0.0034684094981,3.66585083852e-16,0,4.35671250187e-08
-0.505,1.61603803815,1.60676865534,1.60676865534,1.61603803815,-0.000144693460833,0.00020695368081,0.00287618330467,0.000144693460834,0.00020695368081,-0.00287618330467,4.69687969618e-16,0,3.50824018724e-08
-0.5,1.45953165346,1.45306840915,1.45306840915,1.45953165346,-0.000147019738067,0.000183405560982,0.00221906343637,0.000147019738067,0.000183405560982,-0.00221906343637,1.07936508395e-15,0,2.80904384198e-08
-0.495,1.36748742387,1.36287137697,1.36287137697,1.36748742387,-0.000143763966139,0.000149079348568,0.0016906374713,0.000143763966139,0.000149079348568,-0.00169063747129,-7.85392138892e-16,0,2.38914519279e-08
-0.49,1.31761737161,1.31415663358,1.31415663358,1.31761737161,-0.00013914739136,0.000115150757649,0.00131498298297,0.00013914739136,0.000115150757649,-0.00131498298297,1.81481741263e-16,0,2.15293836092e-08
