bias_v,tip_plus_current_a,tip_minus_current_a,asymmetry
0.23,1.42362278546e-05,1.42361594351e-05,2.40301363891e-06
0.235,1.45489921169e-05,1.45489218313e-05,2.41548620875e-06
0.24,1.4861773906e-05,1.48617017322e-05,2.42817741987e-06
0.245,1.51744983377e-05,1.51744242497e-05,2.44120790324e-06
0.25,1.54870896777e-05,1.54870136456e-05,2.45469903354e-06
0.255,1.57994726002e-05,1.57993945898e-05,2.46877171197e-06
0.26,1.61115734453e-05,1.61114934179e-05,2.48354518178e-06
0.265,1.64233214567e-05,1.64232393687e-05,2.49913589406e-06
0.27,1.67346499755e-05,1.67345657785e-05,2.51565644498e-06
0.275,1.70454975716e-05,1.70454112121e-05,2.53321458912e-06
0.28,1.73558090931e-05,1.73557205123e-05,2.55191235038e-06
0.285,1.76655366158e-05,1.766544575e-05,2.57184523187e-06
0.29,1.79746402775e-05,1.79745470576e-05,2.59310152917e-06
0.295,1.82830889828e-05,1.82829933346e-05,2.61576175225e-06
0.3,1.85908609668e-05,1.85907628111e-05,2.63989814993e-06
