bias_v,frequency_hz,z_real_ohm,z_imag_ohm,i_real_a,i_imag_a
0.25,6.81292069058,55814.9781462,-1706.00457706,1.78996151982e-07,5.47108078691e-09
0.25,7.07945784384,55802.9561139,-1531.19600071,1.79067153238e-07,4.91348358567e-09
0.25,7.3564225446,55796.685175,-1357.23565455,1.79116135205e-07,4.35693991931e-09
0.25,7.64422274253,55796.3839479,-1184.20614534,1.79142389939e-07,3.80206572624e-09
0.25,7.94328234724,55802.2742113,-1012.22697252,1.79145219411e-07,3.24960990657e-09
0.25,8.25404185268,55814.5767008,-841.455356261,1.7912395431e-07,2.70045604031e-09
0.25,8.57695898591,55833.5067883,-672.086628046,1.79077973259e-07,2.15562156361e-09
0.25,8.91250938134,55859.2700842,-504.354168198,1.79006722077e-07,1.61625431695e-09
0.25,9.26118728129,55892.0580068,-338.52887802,1.78909732756e-07,1.08362642666e-09
0.25,9.62350626398,55932.0433615,-174.918177106,1.78786641749e-07,5.59125531382e-10
0.25,10,55979.3759741,-13.8645186111,1.78637207232e-07,4.42434171729e-11
0.25,10.3912230384,56034.1784244,144.256582666,1.78461324932e-07,-4.5943782164e-10
0.25,10.7977516233,56096.541929,299.039012358,1.78259042193e-07,-9.50261925035e-10
0.25,11.220184543,56166.5224242,450.049009097,1.7803056992e-07,-1.42651668865e-09
0.25,11.6591440118,56244.1369047,596.828604249,1.77776292082e-07,-1.88645398634e-09
0.25,12.1152765863,56329.3600799,738.899540415,1.77496772513e-07,-2.32831126519e-09
0.25,12.5892541179,56422.1214093,875.767653399,1.77192758737e-07,-2.75033413567e-09
0.25,13.0817747426,56522.3025898,1006.92769337,1.76865182672e-07,-3.150799636e-09
0.25,13.5935639088,56629.7355635,1131.86854978,1.76515158041e-07,-3.52803971197e-09
0.25,14.1253754462,56744.2011204,1250.07883136,1.76143974472e-07,-3.88046442475e-09
0.25,14.6779926762,56865.4281663,1361.05273773,1.75753088284e-07,-4.20658438152e-09
0.25,15.2522295654,56993.093722,1464.29614308,1.75344110076e-07,-4.50503187894e-09
0.25,15.8489319246,57126.8237102,1559.33279642,1.74918789308e-07,-4.7745802613e-09
0.25,16.4689786548,57266.1945739,1645.71052731,1.74478996147e-07,-5.01416102277e-09
0.25,17.1132830416,57410.7357515,1723.00733314,1.7402670096e-07,-5.22287822985e-09
0.25,17.7827941004,57559.9330145,1790.83721327,1.73563951871e-07,-5.40001990298e-09
0.25,18.4784979742,57713.2326455,1848.85561018,1.73092850904e-07,-5.54506607595e-09
0.25,19.2014193864,57870.0464119,1896.76431687,1.72615529251e-07,-5.65769334433e-09
0.25,19.9526231497,58029.7572596,1934.31571526,1.72134122247e-07,-5.73777581571e-09
0.25,20.7332157349,58191.7256253,1961.3162222,1.7165074464e-07,-5.78538248174e-09
0.25,21.5443469003,58355.2962421,1977.62883734,1.71167466725e-07,-5.80077113831e-09
0.25,22.3872113857,58519.8052894,1983.1747109,1.70686291868e-07,-5.78437908083e-09
0.25,23.2630506715,58684.5877268,1977.93367726,1.70209135916e-07,-5.7368108927e-09
0.25,24.173154808,58848.9846371,1961.94373184,1.69737808866e-07,-5.65882371998e-09
0.25,25.1188643151,59012.3504055,1935.2994621,1.6927399914e-07,-5.55131048386e-09
0.25,26.1015721568,59174.0595643,1898.14947615,1.68819260665e-07,-5.41528151956e-09
0.25,27.1227257933,59333.5131445,1850.69290415,1.68375002895e-07,-5.25184514752e-09
0.25,28.1838293126,59490.1443957,1793.1750752,1.67942483796e-07,-5.06218767948e-09
0.25,29.2864456463,59643.4237572,1725.88249546,1.67522805753e-07,-4.84755333994e-09
0.25,30.4321988711,59792.8629916,1649.13727038,1.67116914228e-07,-4.60922454581e-09
0.25,31.6227766017,59938.0184224,1563.2911244,1.66725598994e-07,-4.34850293648e-09
0.25,32.859932476,60078.4932459,1468.71917532,1.6634949767e-07,-4.06669148697e-09
0.25,34.1454887383,60213.9389202,1365.81361844,1.65989101269e-07,-3.76507797182e-09
