time_s,readout_probability
5.66e-05,0.729914296032
5.68e-05,0.75078804116
5.7e-05,0.767193354147
5.72e-05,0.778879069332
5.74e-05,0.785678096467
5.76e-05,0.787509685469
5.78e-05,0.784380108853
5.8e-05,0.776381772777
5.82e-05,0.763690801469
5.84e-05,0.74656316996
5.86e-05,0.725329485645
5.88e-05,0.700388539584
5.9e-05,0.672199764022
5.92e-05,0.641274743848
5.94e-05,0.608167937706
5.96e-05,0.573466770331
5.98e-05,0.537781262304
6e-05,0.501733367535
6.02e-05,0.465946192529
6.04e-05,0.431033274668
6.06e-05,0.397588098555
6.08e-05,0.366174029069
6.1e-05,0.337314835994
6.12e-05,0.311485977126
6.14e-05,0.28910679399
6.16e-05,0.270533756624
6.18e-05,0.256054871838
6.2e-05,0.245885343737
6.22e-05,0.240164547578
6.24e-05,0.238954349598
6.26e-05,0.242238777864
6.28e-05,0.249925023741
6.3e-05,0.261845731002
6.32e-05,0.2777625105
6.34e-05,0.297370602433
6.36e-05,0.320304595123
6.38e-05,0.346145098201
6.4e-05,0.374426258149
6.42e-05,0.404643994738
6.44e-05,0.436264827462
6.46e-05,0.468735151505
6.48e-05,0.501490813509
6.5e-05,0.533966829056
6.52e-05,0.565607077234
6.54e-05,0.595873804068
6.56e-05,0.624256766654
6.58e-05,0.650281854444
6.6e-05,0.673519033301
6.62e-05,0.693589471651
6.64e-05,0.710171725679
6.66e-05,0.723006881016
6.68e-05,0.731902570711
6.7e-05,0.736735812224
6.72e-05,0.737454628692
6.74e-05,0.734078441028
6.76e-05,0.726697237103
6.78e-05,0.715469542234
6.8e-05,0.700619231833
6.82e-05,0.682431242693
6.84e-05,0.661246254736
6.86e-05,0.637454430432
6.88e-05,0.611488314895
6.9e-05,0.583815015625
6.92e-05,0.554927796728
6.94e-05,0.52533723716
6.96e-05,0.495562115294
6.98e-05,0.46612019153
7e-05,0.437519065859
7.02e-05,0.41024728731
7.04e-05,0.38476588662
7.06e-05,0.361500492446
7.08e-05,0.340834175329
7.1e-05,0.323101143633
7.12e-05,0.30858139295
7.14e-05,0.297496386551
7.16e-05,0.290005820743
7.18e-05,0.286205506661
7.2e-05,0.286126379796
7.22e-05,0.289734630922
7.24e-05,0.296932936757
7.26e-05,0.30756275526
7.28e-05,0.321407638145
7.3e-05,0.338197501102
7.32e-05,0.357613779774
7.34e-05,0.379295386129
7.36e-05,0.402845365721
7.38e-05,0.427838141627
7.4e-05,0.453827216656
7.42e-05,0.480353192687
7.44e-05,0.506951956076
7.46e-05,0.533162872104
7.48e-05,0.558536830275
7.5e-05,0.582643986415
7.52e-05,0.605081056893
7.54e-05,0.625478034275
7.56e-05,0.643504211297
7.58e-05,0.658873419933
7.6e-05,0.671348412967
7.62e-05,0.680744335706
7.64e-05,0.68693125407
7.66e-05,0.689835721792
7.68e-05,0.689441383561
7.7e-05,0.685788623062
7.72e-05,0.67897327553
7.74e-05,0.669144434488
7.76e-05,0.656501392581
7.78e-05,0.641289767415
7.8e-05,0.623796875414
7.82e-05,0.60434642969
7.84e-05,0.583292651404
7.86e-05,0.561013897096
7.88e-05,0.537905916079
7.9e-05,0.514374861081
7.92e-05,0.490830181115
7.94e-05,0.467677527386
7.96e-05,0.445311800827
7.98e-05,0.424110463862
8e-05,0.404427229766
