B_t,total_echo_time_s,normalized_quadrature
0.00641040786793,8.58535094489e-05,0.97342426514
0.00641040786793,8.60842984528e-05,0.975334716876
0.00641040786793,8.63150874567e-05,0.964533073239
0.00641040786793,8.65458764606e-05,0.940506004398
0.00641040786793,8.67766654645e-05,0.904085222634
0.00641040786793,8.70074544684e-05,0.857406679873
0.00641040786793,8.72382434723e-05,0.803740892916
0.00641040786793,8.74690324762e-05,0.747170109959
0.00641040786793,8.76998214801e-05,0.692109597514
0.00641040786793,8.79306104839e-05,0.642727686179
0.00641040786793,8.81613994878e-05,0.602379136268
0.00641040786793,8.83921884917e-05,0.573195077609
0.00641040786793,8.86229774956e-05,0.555950765812
0.00641040786793,8.88537664995e-05,0.550255497341
0.00641040786793,8.90845555034e-05,0.554992290233
0.00641040786793,8.93153445073e-05,0.568822602926
0.00641040786793,8.95461335112e-05,0.5905309339
0.00641040786793,8.97769225151e-05,0.619065041642
0.00641040786793,9.0007711519e-05,0.653305809133
0.00641040786793,9.02385005229e-05,0.691769584912
0.00641040786793,9.04692895268e-05,0.732485653974
0.00641040786793,9.07000785307e-05,0.773170354022
0.00641040786793,9.09308675346e-05,0.811625046602
0.00641040786793,9.11616565385e-05,0.846152518116
0.00641040786793,9.13924455424e-05,0.875790483114
0.00641040786793,9.16232345463e-05,0.90027446823
0.00641040786793,9.18540235502e-05,0.919779461734
0.00641040786793,9.20848125541e-05,0.934575954852
0.00641040786793,9.23156015579e-05,0.94474498351
0.00641040786793,9.25463905618e-05,0.95004383721
0.00641040786793,9.27771795657e-05,0.949935031302
0.00641040786793,9.30079685696e-05,0.943726099319
0.00641040786793,9.32387575735e-05,0.930747651546
0.00641040786793,9.34695465774e-05,0.910526354083
0.00641040786793,9.37003355813e-05,0.88295681817
0.00641040786793,9.39311245852e-05,0.848494105169
0.00641040786793,9.41619135891e-05,0.808354209583
0.00641040786793,9.4392702593e-05,0.764651781287
0.00641040786793,9.46234915969e-05,0.720378578121
0.00641040786793,9.48542806008e-05,0.67916458685
0.00641040786793,9.50850696047e-05,0.644846020292
0.00641040786793,9.53158586086e-05,0.620938871756
0.00641040786793,9.55466476125e-05,0.610143348428
0.00641040786793,9.57774366164e-05,0.613977976541
0.00641040786793,9.60082256203e-05,0.632584564362
0.00641040786793,9.62390146242e-05,0.664687598062
0.00641040786793,9.64698036281e-05,0.707661849584
0.00641040786793,9.6700592632e-05,0.757676343998
0.00641040786793,9.69313816358e-05,0.809933708094
0.00641040786793,9.71621706397e-05,0.859070888092
0.00641040786793,9.73929596436e-05,0.89977466801
0.00641040786793,9.76237486475e-05,0.927569871884
0.00641040786793,9.78545376514e-05,0.939606048817
0.00641040786793,9.80853266553e-05,0.935194870991
0.00641040786793,9.83161156592e-05,0.915903581621
0.00641040786793,9.85469046631e-05,0.885170344604
0.00641040786793,9.8777693667e-05,0.84758286921
0.00641040786793,9.90084826709e-05,0.808058774949
0.00641040786793,9.92392716748e-05,0.771150470895
0.00641040786793,9.94700606787e-05,0.740598000702
0.00641040786793,9.97008496826e-05,0.719128532128
0.00641040786793,9.99316386865e-05,0.708405864196
0.00641040786793,0.00010016242769,0.709005929678
0.00641040786793,0.000100393216694,0.720349008495
0.00641040786793,0.000100624005698,0.740631470079
0.00641040786793,0.000100854794702,0.766899461924
0.00641040786793,0.000101085583706,0.795410942799
0.00641040786793,0.00010131637271,0.822310166422
0.00641040786793,0.000101547161714,0.84445482811
0.00641040786793,0.000101777950718,0.860114473068
0.00641040786793,0.000102008739722,0.869286292142
0.00641040786793,0.000102239528725,0.873532450473
0.00641040786793,0.000102470317729,0.87542956051
0.00641040786793,0.000102701106733,0.877834245381
0.00641040786793,0.000102931895737,0.883173375391
0.00641040786793,0.000103162684741,0.892896534138
0.00641040786793,0.000103393473745,0.907142493429
0.00641040786793,0.000103624262749,0.92461866746
0.00641040786793,0.000103855051753,0.942687401608
0.00641040786793,0.000104085840757,0.957675640963
0.00641040786793,0.00010431662976,0.965431806985
0.00641040786793,0.000104547418764,0.962105703019
0.00641040786793,0.000104778207768,0.945023732897
0.00641040786793,0.000105008996772,0.913429611268
0.00641040786793,0.000105239785776,0.868843057719
0.00641040786793,0.00010547057478,0.814897218019
0.00641040786793,0.000105701363784,0.756705463156
0.00641040786793,0.000105932152788,0.699975887696
0.00641040786793,0.000106162941792,0.650149191344
0.00641040786793,0.000106393730796,0.611766916645
0.00641040786793,0.000106624519799,0.588134977
0.00641040786793,0.000106855308803,0.581209077892
0.00641040786793,0.000107086097807,0.591555531954
0.00641040786793,0.000107316886811,0.618263030609
0.00641040786793,0.000107547675815,0.658791013382
0.00641040786793,0.000107778464819,0.708886561976
0.00641040786793,0.000108009253823,0.762792816982
0.00641040786793,0.000108240042827,0.813920513357
0.00641040786793,0.000108470831831,0.855950013848
0.00641040786793,0.000108701620834,0.88407906015
