B_t,modulation_frequency_hz,amplitude
0.0103544127854,372363.927872,0.000245856740434
0.0103544127854,380826.744415,0.000158854858507
0.0103544127854,389289.560957,0.000552481480599
0.0103544127854,397752.3775,0.00156269230405
0.0103544127854,406215.194042,0.00417220892159
0.0103544127854,414678.010585,0.00269825819806
0.0103544127854,423140.827127,0.00227764693608
0.0103544127854,431603.64367,0.014455375231
0.0103544127854,440066.460213,0.027493219723
0.0103544127854,448529.276755,0.0727629931466
0.0103544127854,456992.093298,0.0943999612709
0.0103544127854,465454.90984,0.0307468423956
0.0103544127854,473917.726383,0.0069295006634
0.0103544127854,482380.542925,0.00477172579298
0.0103544127854,490843.359468,0.0010713241479
0.0103544127854,499306.17601,0.000675131207297
0.0103544127854,507768.992553,0.00085192461634
0.0103544127854,516231.809096,0.000478065154727
0.0103544127854,524694.625638,0.000576695726552
0.0103544127854,533157.442181,0.000988485904702
0.0103544127854,541620.258723,0.000813700929884
0.0103544127854,550083.075266,0.000992559530861
0.0103544127854,558545.891808,0.00158641182937
0.0103544127854,567008.708351,0.00150235744672
0.0103544127854,575471.524893,0.00388030287939
0.0103544127854,583934.341436,0.00620751682527
0.0103544127854,592397.157978,0.00327135769917
0.0103544127854,600859.974521,0.00302589792713
0.0103544127854,609322.791064,0.00258445388809
0.0103544127854,617785.607606,0.00162132147776
0.0103544127854,626248.424149,0.00328887862367
0.0103544127854,634711.240691,0.00240642636737
0.0103544127854,643174.057234,0.000193343550965
0.0103544127854,651636.873776,0.0001997203761
0.0103544127854,660099.690319,0.000673512061712
0.0103544127854,668562.506861,0.00108317407786
0.0103544127854,677025.323404,0.000349528510751
0.0103544127854,685488.139946,0.0011784621531
0.0103544127854,693950.956489,0.000422395303816
0.0103544127854,702413.773032,0.000107735469987
0.0103544127854,710876.589574,0.000389566611712
0.0103544127854,719339.406117,0.00154265238668
0.0103544127854,727802.222659,0.00245437896363
0.0103544127854,736265.039202,0.00260423702591
0.0103544127854,744727.855744,0.00115168665911
0.0103544127854,753190.672287,0.00309122932226
0.0103544127854,761653.488829,0.00262427832941
0.0103544127854,770116.305372,0.000420899316649
0.0103544127854,778579.121915,9.68602609031e-05
0.0103544127854,787041.938457,7.24028684348e-05
0.0103544127854,795504.755,6.25216099694e-05
0.0103544127854,803967.571542,2.71648848919e-05
0.0103544127854,812430.388085,5.91284057292e-05
0.0103544127854,820893.204627,3.72413214437e-05
0.0103544127854,829356.02117,8.83577331748e-06
0.0103544127854,837818.837712,8.81023230155e-06
0.0103544127854,846281.654255,5.27454523557e-05
0.0103544127854,854744.470797,4.64823894089e-05
0.0103544127854,863207.28734,3.45239252356e-05
0.0103544127854,871670.103883,0.00014296365147
0.0103544127854,880132.920425,0.000202879108265
0.0103544127854,888595.736968,0.000904487950952
0.0103544127854,897058.55351,0.00160394395251
0.0103544127854,905521.370053,0.00171087688197
0.0103544127854,913984.186595,0.00146251175303
0.0103544127854,922447.003138,0.000350049390916
0.0103544127854,930909.81968,2.19332752188e-05
0.0103544127854,939372.636223,2.30985384624e-05
0.0103544127854,947835.452766,2.78242114266e-05
0.0103544127854,956298.269308,3.07722299133e-06
0.0103544127854,964761.085851,1.56490921542e-05
0.0103544127854,973223.902393,8.67035751674e-06
0.0103544127854,981686.718936,2.22300780761e-05
0.0103544127854,990149.535478,2.80659973931e-05
0.0103544127854,998612.352021,2.70625713319e-05
0.0103544127854,1007075.16856,2.33238663777e-05
0.0103544127854,1015537.98511,4.92062221115e-05
0.0103544127854,1024000.80165,9.9848215727e-05
0.0103544127854,1032463.61819,5.70065314889e-05
0.0103544127854,1040926.43473,3.98477455993e-05
0.0103544127854,1049389.25128,4.90451667729e-05
0.0103544127854,1057852.06782,2.36103500741e-05
0.0103544127854,1066314.88436,4.58916394855e-05
0.0103544127854,1074777.7009,4.2978939449e-05
0.0103544127854,1083240.51745,7.58982629854e-06
0.0103544127854,1091703.33399,1.59207560583e-06
0.0103544127854,1100166.15053,7.93228869192e-06
0.0103544127854,1108628.96707,1.42905764803e-05
0.0103544127854,1117091.78362,1.33965339563e-05
0.0103544127854,1125554.60016,2.20274557259e-05
0.0103544127854,1134017.4167,8.12746866826e-06
0.0103544127854,1142480.23324,1.73075496054e-05
0.0103544127854,1150943.04979,2.64665125373e-06
0.0103544127854,1159405.86633,9.89755687439e-06
0.0103544127854,1167868.68287,2.6092640389e-05
0.0103544127854,1176331.49941,4.71629524621e-05
0.0103544127854,1184794.31596,2.52881643872e-05
0.0103544127854,1193257.1325,4.27421084347e-05
0.0103544127854,1201719.94904,4.55706388826e-05
0.0103544127854,1210182.76558,1.14473305117e-05
0.0103544127854,1218645.58213,1.47354279776e-06
0.0103544127854,1227108.39867,8.27191444562e-07
0.0103544127854,1235571.21521,7.39581409336e-07
0.0103544127854,1244034.03175,3.5315746663e-07
0.0103544127854,1252496.8483,8.73166610262e-07
0.0103544127854,1260959.66484,6.40678709614e-07
0.0103544127854,1269422.48138,1.0291128338e-07
0.0103544127854,1277885.29792,4.93740562306e-08
0.0103544127854,1286348.11447,3.3900340312e-07
0.0103544127854,1294810.93101,4.56925446202e-07
0.0103544127854,1303273.74755,3.72759127584e-07
0.0103544127854,1311736.5641,8.79235686063e-07
0.0103544127854,1320199.38064,8.81390235034e-07
0.0103544127854,1328662.19718,4.92439494134e-06
0.0103544127854,1337125.01372,1.14353215273e-05
0.0103544127854,1345587.83027,2.16063528416e-05
0.0103544127854,1354050.64681,2.42326624688e-05
0.0103544127854,1362513.46335,7.47547352818e-06
0.0103544127854,1370976.27989,4.29392707927e-07
0.0103544127854,1379439.09644,2.33530283557e-07
0.0103544127854,1387901.91298,4.5287808166e-07
0.0103544127854,1396364.72952,1.87298597264e-07
0.0103544127854,1404827.54606,1.99476244137e-07
0.0103544127854,1413290.36261,1.73270406805e-07
0.0103544127854,1421753.17915,2.8373371299e-07
0.0103544127854,1430215.99569,4.47539724276e-07
0.0103544127854,1438678.81223,2.74120009055e-07
0.0103544127854,1447141.62878,1.53596262595e-07
0.0103544127854,1455604.44532,2.59472913743e-07
0.0103544127854,1464067.26186,7.08450708128e-07
0.0103544127854,1472530.0784,4.54075608142e-07
0.0103544127854,1480992.89495,2.81682724841e-07
0.0103544127854,1489455.71149,3.37554529639e-07
0.0103544127854,1497918.52803,2.3185535309e-07
0.0103544127854,1506381.34457,2.6515223319e-07
0.0103544127854,1514844.16112,3.52183252506e-07
0.0103544127854,1523306.97766,6.95700515272e-08
0.0103544127854,1531769.7942,2.15987603176e-08
0.0103544127854,1540232.61074,6.06319240341e-08
0.0103544127854,1548695.42729,6.23933020635e-08
0.0103544127854,1557158.24383,1.65001408237e-07
0.0103544127854,1565621.06037,2.64362529988e-07
0.0103544127854,1574083.87691,5.59967777813e-08
0.0103544127854,1582546.69346,2.7245431562e-07
0.0103544127854,1591009.51,6.53303468958e-08
0.0103544127854,1599472.32654,2.4829447691e-08
0.0103544127854,1607935.14308,1.46562633218e-07
0.0103544127854,1616397.95963,3.18687600784e-07
0.0103544127854,1624860.77617,2.47236942188e-07
0.0103544127854,1633323.59271,2.5100317658e-07
0.0103544127854,1641786.40925,3.55668149506e-07
0.0103544127854,1650249.2258,1.06931786927e-07
0.0103544127854,1658712.04234,9.49071283332e-09
0.0103544127854,1667174.85888,1.15376741757e-08
0.0103544127854,1675637.67542,1.89971958095e-08
0.0103544127854,1684100.49197,1.28222425227e-08
0.0103544127854,1692563.30851,1.23252157886e-08
0.0103544127854,1701026.12505,1.10360856439e-08
0.0103544127854,1709488.94159,1.50772822891e-08
0.0103544127854,1717951.75814,1.29530255436e-08
0.0103544127854,1726414.57468,1.28154716144e-08
0.0103544127854,1734877.39122,1.05972896266e-08
0.0103544127854,1743340.20777,1.49663225401e-08
0.0103544127854,1751803.02431,1.02668818557e-08
0.0103544127854,1760265.84085,1.35530702533e-08
