omega_t,CPMG1,CPMG4,CPMG16,CPMG64,UDD1,UDD4,UDD16,UDD64
108.392691402,11.6194165853,1.29819807824,8.31346500174,0.523672246417,11.6194165853,18.6979218414,240.616694952,0.0356954025625
109.647819614,5.32090267722,7.5751332975,16.2868692716,1.08369922853,5.32090267722,51.8670927533,114.225366377,0.0826864692105
110.917481526,1.15540963129,23.1898594879,13.2791727416,0.932138000465,1.15540963129,77.9427930394,31.5906824716,0.187563596371
112.20184543,0.0388676194019,47.4125223316,3.2137649595,0.237660014744,0.0388676194019,77.5099365072,2.92605857697,0.416221669653
113.501081567,0.00164953801749,69.7251224092,0.701195016937,0.0545444095558,0.00164953801749,52.0041077882,0.0312711511198,0.902603137091
114.81536215,0.481122837827,74.3163069131,10.1972014135,0.832971502512,0.481122837827,21.0055580323,0.00306297541997,1.91054688984
116.144861384,3.6327135553,54.3340503242,18.1434476672,1.55344077411,3.6327135553,2.93509359116,1.36387089312,3.94232475686
117.489755494,10.0543871602,22.357499028,12.2546496348,1.09747569165,10.0543871602,0.383928247813,4.22623665829,7.91900804932
118.850222744,15.4457403011,1.74175185027,1.31704349257,0.123082063162,15.4457403011,3.66135074034,1.63307930434,15.4610119142
120.226443462,14.6211012642,3.5208275661,3.33556156563,0.324423993906,14.6211012642,4.37132904338,2.97096140397,29.2888328422
121.618600065,8.2546655585,14.8694643933,16.6078682069,1.6760909165,8.2546655585,2.17635978489,40.1379882464,53.7303281116
123.026877081,2.251734294,15.8679574296,20.0268758134,2.08995480591,2.251734294,0.378440099217,118.132592346,95.2433596029
124.451461177,0.126930944021,5.2530211241,7.25201760017,0.779459353448,0.126930944021,0.00137378659225,173.95476619,162.725073722
125.892541179,0.000171010351974,0.208634797371,0.306457708254,0.0337682003485,0.000171010351974,0.0018944981387,136.17993024,267.185493786
127.350308102,0.448896938139,9.12759235202,13.8891928805,1.56050913716,0.448896938139,0.41380922917,36.8248854625,420.168145726
128.824955169,4.07901058328,17.3621816763,26.5712574808,3.02466784599,4.07901058328,2.65449064755,4.44950559286,630.245062593
130.316677845,11.3675606842,10.2248576761,15.1555302134,1.7346193727,11.3675606842,7.50151408689,100.530966642,897.237708322
131.825673856,15.97063507,0.0840582690132,0.11422242101,0.0130246122277,15.97063507,14.3352832034,213.935898579,1204.79535867
133.352143216,12.4347622413,12.5981294791,14.3258865562,1.60935233911,12.4347622413,21.8988802937,195.94299064,1513.71111461
134.896288259,4.80442633938,47.7355793757,38.0325787348,4.15127118015,4.80442633938,28.3500390598,69.6486672095,1760.47569958
136.458313659,0.539910433141,73.9663290514,26.2588574023,2.73663075123,0.539910433141,30.3064707739,0.00100534004796,1866.8032996
138.03842646,8.4188604427e-05,66.9104949802,0.468237992026,0.04555913851,8.4188604427e-05,23.8233896603,55.2753237389,1764.1278809
139.636836106,0.225320005526,37.2212409974,25.7986444237,2.27515966945,0.225320005526,10.0338344235,121.777044429,1430.41317579
141.253754462,3.5425012352,11.653661657,77.2965218285,5.93371859536,3.5425012352,0.188418191298,93.8702658171,925.38217572
142.889395851,11.3986862081,1.40938004261,54.5325989332,3.43964089984,11.3986862081,7.24591839981,22.2298253532,399.596315388
