potential_RHE_V,bulk_pH,feasible,FE_CO,FE_HCOOH,FE_C2H4,FE_H2
-0.6499999999999999,6.0,True,0.014522391213748964,0.2704288556510359,0.574235513714913,0.140813239420302
-0.6,6.0,True,0.026277218432335957,0.2533249607501384,0.5590402787300817,0.16135754208744404
-0.55,6.0,True,0.04792853302559031,0.24510037039917862,0.5364482273294547,0.17052286924577637
-0.5,6.0,True,0.08680794669671521,0.2457347422218358,0.49126753288490105,0.176189778196548
-0.45,6.0,True,0.15231778838997306,0.2563445085550947,0.4073292346836174,0.1840084683713148
-0.4,6.0,True,0.24741681001685906,0.27555996112578507,0.281765265377887,0.19525796347946892
-0.95,6.5,False,,,,
-0.8999999999999999,6.5,False,,,,
-0.85,6.5,False,,,,
-0.7999999999999999,6.5,False,,,,
-0.75,6.5,True,0.004659447385440797,0.3352221548148399,0.616415528437445,0.043702869362274376
-0.7,6.5,True,0.00826360274364227,0.3013199520928118,0.5997573115693993,0.09065913359414673
-0.6499999999999999,6.5,True,0.014779615723792182,0.2752187644802749,0.5844065280121263,0.12559509178380662
-0.6,6.5,True,0.02681628015024418,0.2585217736808,0.5705086620297877,0.14415328413916828
-0.55,6.5,True,0.048976475647610825,0.2504594145551336,0.5481775026992182,0.15238660709803736
-0.5,6.5,True,0.08877878232364383,0.2513137566228669,0.502420976699735,0.15748648435375429
-0.45,6.5,True,0.1559406075544643,0.26244156266887914,0.41701740159614675,0.16460042818050985
-0.4,6.5,True,0.25367665064477424,0.28253184569565065,0.2888941490443913,0.17489735461518383
-0.95,7.0,False,,,,
-0.8999999999999999,7.0,False,,,,
-0.85,7.0,False,,,,
-0.7999999999999999,7.0,False,,,,
-0.75,7.0,True,0.0046866483523567825,0.3371791179455141,0.620014044958507,0.03812018874362227
-0.7,7.0,True,0.008358617716007401,0.3047845313821761,0.6066533260745016,0.08020352482731483
-0.6499999999999999,7.0,True,0.015014022284257293,0.2795837686294305,0.5936752888990658,0.11172692018724625
-0.6,7.0,True,0.027308306582655244,0.26326514395035644,0.580976383132991,0.12845016633399725
-0.55,7.0,True,0.049932829681084194,0.2553500864167556,0.5588816572720742,0.13583542663008613
-0.5,7.0,True,0.09057751046210859,0.256405571511394,0.5126004218834977,0.14041649614299972
-0.45,7.0,True,0.15925131487960917,0.26801334552631645,0.42587091696862633,0.14686442262544808
-0.4,7.0,True,0.2594114435251007,0.2889189594211067,0.2954250934765918,0.15624450357720082
-0.95,7.5,False,,,,
-0.8999999999999999,7.5,False,,,,
-0.85,7.5,False,,,,
-0.7999999999999999,7.5,False,,,,
-0.75,7.5,True,0.004710692896463361,0.33890899344794795,0.6231949866315055,0.03318532702408324
