cavity_ev,N1_quantum_ratio,N1_classical_ratio,N1_quantum_rate_s-1,N4_quantum_ratio,N4_classical_ratio,N4_quantum_rate_s-1,N16_quantum_ratio,N16_classical_ratio,N16_quantum_rate_s-1,N64_quantum_ratio,N64_classical_ratio,N64_quantum_rate_s-1
0.144,0.985241243319,0.978373147961,3.16884442558e-20,0.996453300019,0.99459523129,3.20490591165e-20,0.999122304014,0.998649045936,3.21349026446e-20,0.999781137664,0.999662278149,3.21560927983e-20
0.1455,0.985338352818,0.978842826645,3.16915676014e-20,0.996470950474,0.994711755514,3.20496268104e-20,0.999126306265,0.99867811405,3.21350313695e-20,0.999782112653,0.999669541139,3.2156124157e-20
0.147,0.985437029426,0.979299704362,3.16947413502e-20,0.996489305845,0.994825162446,3.20502171767e-20,0.999130503623,0.998706408436,3.21351663697e-20,0.999783137588,0.999676611053,3.21561571221e-20
0.1485,0.985537153133,0.979744200087,3.16979616422e-20,0.996508320983,0.994935550345,3.2050828763e-20,0.999134883936,0.998733953233,3.21353072542e-20,0.999784209376,0.999683493898,3.21561915941e-20
0.15,0.985638608211,0.980176716508,3.17012247553e-20,0.99652795256,0.995043013889,3.20514601761e-20,0.99913943554,0.998760771712,3.21354536481e-20,0.999785325052,0.999690195468,3.21562274778e-20
0.1515,0.985741283155,0.980597640785,3.17045271031e-20,0.996548159021,0.995147644326,3.20521100791e-20,0.999144147257,0.99878688632,3.21356051917e-20,0.999786481771,0.99969672135,3.21562646815e-20
0.153,0.985845070623,0.981007345264,3.17078652331e-20,0.996568900524,0.995249529618,3.20527771908e-20,0.999149008371,0.998812318707,3.21357615403e-20,0.99978767681,0.999703076935,3.21563031177e-20
0.1545,0.98594986736,0.981406188155,3.17112358244e-20,0.996590138896,0.995348754579,3.20534602834e-20,0.999154008616,0.998837089761,3.21359223639e-20,0.999788907557,0.999709267427,3.21563427024e-20
0.156,0.986055574129,0.98179451417,3.17146356852e-20,0.996611837574,0.995445401005,3.20541581808e-20,0.999159138164,0.99886121964,3.21360873462e-20,0.999790171514,0.999715297844,3.21563833552e-20
0.1575,0.986162095624,0.982172655129,3.17180617501e-20,0.996633961558,0.995539547801,3.20548697574e-20,0.999164387607,0.998884727799,3.21362561847e-20,0.999791466287,0.999721173036,3.21564249991e-20
0.159,0.98626934039,0.982540930526,3.17215110777e-20,0.996656477357,0.995631271095,3.20555939361e-20,0.999169747946,0.998907633022,3.213642859e-20,0.999792789588,0.99972689768,3.21564675606e-20
0.1605,0.986377220734,0.982899648076,3.17249808474e-20,0.996679352943,0.995720644352,3.20563296866e-20,0.999175210576,0.998929953441,3.21366042853e-20,0.99979413923,0.999732476297,3.21565109693e-20
0.162,0.986485652635,0.983249104225,3.1728468357e-20,0.996702557701,0.995807738481,3.20570760242e-20,0.99918076727,0.998951706571,3.2136783006e-20,0.99979551312,0.99973791325,3.2156555158e-20
0.1635,0.986594555649,0.983589584637,3.1731971019e-20,0.996726062378,0.995892621939,3.20578320083e-20,0.999186410173,0.998972909326,3.21369644994e-20,0.999796909261,0.999743212756,3.21566000622e-20
0.165,0.986703852819,0.983921364651,3.17354863583e-20,0.99674983904,0.995975360823,3.20585967402e-20,0.999192131779,0.998993578048,3.21371485242e-20,0.999798325745,0.999748378889,3.21566456208e-20
