dimensionless_reaction_q,photon_massweighted_Q,potential_ev
0.234,-17.1,5.97443570558
0.26,-17.1,5.86583394952
0.286,-17.1,5.75333214302
0.312,-17.1,5.63716198388
0.338,-17.1,5.51757723637
0.364,-17.1,5.39485373119
0.39,-17.1,5.26928936552
0.416,-17.1,5.14120410298
0.442,-17.1,5.01093997366
0.468,-17.1,4.8788610741
0.494,-17.1,4.7453535673
0.52,-17.1,4.61082568271
0.546,-17.1,4.47570771626
0.572,-17.1,4.3404520303
0.598,-17.1,4.20553305368
0.624,-17.1,4.07144728166
0.65,-17.1,3.93871327599
0.676,-17.1,3.80787166488
0.702,-17.1,3.67948514297
0.728,-17.1,3.55413847139
0.754,-17.1,3.43243847769
0.78,-17.1,3.31501405591
0.806,-17.1,3.20251616653
0.832,-17.1,3.0956178365
0.858,-17.1,2.9950141592
0.884,-17.1,2.9014222945
0.91,-17.1,2.81558146871
0.936,-17.1,2.7382529746
0.962,-17.1,2.67022017139
0.988,-17.1,2.61228848477
1.014,-17.1,2.56528540687
1.04,-17.1,2.53006049631
1.066,-17.1,2.50748537813
1.092,-17.1,2.49845374384
1.118,-17.1,2.50388135141
1.144,-17.1,2.52470602527
1.17,-17.1,2.56188765631
1.196,-17.1,2.61640820186
1.222,-17.1,2.68927168571
1.248,-17.1,2.78150419814
1.274,-17.1,2.89415389584
1.3,-17.1,3.02829100199
-1.3,-16.8,9.22862676998
-1.274,-16.8,8.96718786847
-1.248,-16.8,8.72723637541
-1.222,-16.8,8.50770206763
-1.196,-16.8,8.30753678841
-1.17,-16.8,8.1257144475
-1.144,-16.8,7.96123102111
-1.118,-16.8,7.81310455188
-1.092,-16.8,7.68037514895
-1.066,-16.8,7.56210498788
-1.04,-16.8,7.4573783107
-1.014,-16.8,7.36530142591
-0.988,-16.8,7.28500270844
-0.962,-16.8,7.2156325997
-0.936,-16.8,7.15636360755
-0.91,-16.8,7.1063903063
-0.884,-16.8,7.06492933674
-0.858,-16.8,7.03121940608
-0.832,-16.8,7.00452128801
-0.806,-16.8,6.98411782269
-0.78,-16.8,6.96931391671
